"person","treatment","happiness","comments"
1,"Grateful",6.1,"Data representative of values reported in Table 2 of the paper:"
2,"Grateful",6.2,"Robert A. Emmons and Michael E. McCullough. Counting blessings versus burdens:"
3,"Grateful",3.7,"An experimental investigation of gratitude and subjective well-being in daily life."
4,"Grateful",4.4,"Journal of Personality and Social Psychology, 84(2):377–389, 2003."
5,"Grateful",5.7,NA
6,"Grateful",7.5,"In this study, undergraduate volunteers were randomly assigned to one of three groups."
7,"Grateful",5.4,"Group 1 wrote down five things each week for which they were grateful."
8,"Grateful",4.3,"Group 2 wrote down five hassles that occured in their lives."
9,"Grateful",4.8,"Group 3 wrote down five things each week that had an impact on them."
10,"Grateful",6,NA
11,"Grateful",5.6,"The participants were asked to rate their feelings about life in general."
12,"Grateful",4.3,NA
13,"Grateful",4.4,NA
14,"Grateful",5.1,"Higher scores indicate a more favorable disposition to life in general."
15,"Grateful",3.9,NA
16,"Grateful",5.2,NA
17,"Grateful",4.2,NA
18,"Grateful",6,NA
19,"Grateful",5.7,NA
20,"Grateful",3.5,NA
21,"Grateful",6.6,NA
22,"Grateful",5.8,NA
23,"Grateful",5.3,NA
24,"Grateful",3.9,NA
25,"Grateful",5,NA
26,"Grateful",3.8,NA
27,"Grateful",4.3,NA
28,"Grateful",5,NA
29,"Grateful",5.7,NA
30,"Grateful",5.4,NA
31,"Grateful",4.9,NA
32,"Grateful",5.1,NA
33,"Grateful",5.5,NA
34,"Grateful",6.2,NA
35,"Grateful",6.2,NA
36,"Grateful",4,NA
37,"Grateful",4.1,NA
38,"Grateful",6.6,NA
39,"Grateful",5.5,NA
40,"Grateful",5.1,NA
41,"Grateful",5.1,NA
42,"Grateful",5.3,NA
43,"Grateful",4.3,NA
44,"Grateful",3.5,NA
45,"Grateful",5.6,NA
46,"Grateful",3.8,NA
47,"Grateful",4.4,NA
48,"Grateful",4,NA
49,"Grateful",7,NA
50,"Grateful",7.2,NA
51,"Grateful",4.2,NA
52,"Grateful",4.2,NA
53,"Grateful",4.1,NA
54,"Grateful",4.2,NA
55,"Grateful",4.9,NA
56,"Grateful",5.4,NA
57,"Grateful",5,NA
58,"Grateful",6.5,NA
59,"Grateful",4.8,NA
60,"Grateful",4,NA
61,"Grateful",5.3,NA
62,"Grateful",4.4,NA
63,"Grateful",5.1,NA
64,"Grateful",4.9,NA
65,"Hassles",5.9,NA
66,"Hassles",5.4,NA
67,"Hassles",3.7,NA
68,"Hassles",4.4,NA
69,"Hassles",3.8,NA
70,"Hassles",3.4,NA
71,"Hassles",5.3,NA
72,"Hassles",5.4,NA
73,"Hassles",4.2,NA
74,"Hassles",5.5,NA
75,"Hassles",6.1,NA
76,"Hassles",4.6,NA
77,"Hassles",6.2,NA
78,"Hassles",3.9,NA
79,"Hassles",4.6,NA
80,"Hassles",3.4,NA
81,"Hassles",5.3,NA
82,"Hassles",3.7,NA
83,"Hassles",4.5,NA
84,"Hassles",4.2,NA
85,"Hassles",3.5,NA
86,"Hassles",3.5,NA
87,"Hassles",5.2,NA
88,"Hassles",5.9,NA
89,"Hassles",5.9,NA
90,"Hassles",4.5,NA
91,"Hassles",4.6,NA
92,"Hassles",4.4,NA
93,"Hassles",6,NA
94,"Hassles",3.8,NA
95,"Hassles",4.7,NA
96,"Hassles",5.4,NA
97,"Hassles",3.5,NA
98,"Hassles",4.4,NA
99,"Hassles",4.6,NA
100,"Hassles",4.3,NA
101,"Hassles",4.7,NA
102,"Hassles",3.8,NA
103,"Hassles",5.3,NA
104,"Hassles",3.9,NA
105,"Hassles",4.6,NA
106,"Hassles",3.3,NA
107,"Hassles",4.6,NA
108,"Hassles",3.4,NA
109,"Hassles",4.8,NA
110,"Hassles",5.6,NA
111,"Hassles",3.8,NA
112,"Hassles",5.6,NA
113,"Hassles",4.8,NA
114,"Hassles",4.7,NA
115,"Hassles",5.4,NA
116,"Hassles",4.8,NA
117,"Hassles",5.6,NA
118,"Hassles",4.8,NA
119,"Hassles",5.5,NA
120,"Hassles",5.3,NA
121,"Hassles",5.6,NA
122,"Hassles",3.7,NA
123,"Hassles",3.8,NA
124,"Hassles",5.3,NA
125,"Hassles",4.1,NA
126,"Hassles",6.2,NA
127,"Hassles",3.8,NA
128,"Events",4.9,NA
129,"Events",4.2,NA
130,"Events",4.1,NA
131,"Events",4.8,NA
132,"Events",6.7,NA
133,"Events",3.6,NA
134,"Events",4.8,NA
135,"Events",4.7,NA
136,"Events",4.4,NA
137,"Events",5.1,NA
138,"Events",5.4,NA
139,"Events",4,NA
140,"Events",3.8,NA
141,"Events",4.5,NA
142,"Events",5.2,NA
143,"Events",5.1,NA
144,"Events",4.5,NA
145,"Events",3,NA
146,"Events",4.9,NA
147,"Events",4.2,NA
148,"Events",3.9,NA
149,"Events",4.9,NA
150,"Events",5.2,NA
151,"Events",3.3,NA
152,"Events",4.7,NA
153,"Events",4.9,NA
154,"Events",5,NA
155,"Events",4.3,NA
156,"Events",4.7,NA
157,"Events",4.2,NA
158,"Events",5.5,NA
159,"Events",4.3,NA
160,"Events",5.3,NA
161,"Events",5,NA
162,"Events",4.1,NA
163,"Events",4.9,NA
164,"Events",5.1,NA
165,"Events",5.4,NA
166,"Events",3.2,NA
167,"Events",5,NA
168,"Events",4.3,NA
169,"Events",5.4,NA
170,"Events",5,NA
171,"Events",4.2,NA
172,"Events",4,NA
173,"Events",4.8,NA
174,"Events",3.4,NA
175,"Events",3.4,NA
176,"Events",5.7,NA
177,"Events",6.8,NA
178,"Events",3.6,NA
179,"Events",3.8,NA
180,"Events",4.8,NA
181,"Events",3.5,NA
182,"Events",4.8,NA
183,"Events",4.3,NA
184,"Events",6,NA
185,"Events",6.7,NA
186,"Events",5.7,NA
187,"Events",5.9,NA
188,"Events",3.3,NA
189,"Events",5.9,NA
190,"Events",4.5,NA
191,"Events",4.6,NA
192,"Events",3.7,NA
