"duration","wait","source"
3.6,79,"Azzalini, A. and Bowman, A. W. (1990)."
1.8,54,"A look at some data"
3.333,74,"on the Old Faithful geyser."
2.283,62,"Applied Statistics 39, 357-365."
4.533,85,"(Collected Aug. 1-15, 1985)"
2.883,55,NA
4.7,88,NA
3.6,85,NA
1.95,51,NA
4.35,85,NA
1.833,54,NA
3.917,84,NA
4.2,78,NA
1.75,47,NA
4.7,83,NA
2.167,52,NA
1.75,62,NA
4.8,84,NA
1.6,52,NA
4.25,79,NA
1.8,51,NA
1.75,47,NA
3.45,78,NA
3.067,69,NA
4.533,74,NA
3.6,83,NA
1.967,55,NA
4.083,76,NA
3.85,78,NA
4.433,79,NA
4.3,73,NA
4.467,77,NA
3.367,66,NA
4.033,80,NA
3.833,74,NA
2.017,52,NA
1.867,48,NA
4.833,80,NA
1.833,59,NA
4.783,90,NA
4.35,80,NA
1.883,58,NA
4.567,84,NA
1.75,58,NA
4.533,73,NA
3.317,83,NA
3.833,64,NA
2.1,53,NA
4.633,82,NA
2,59,NA
4.8,75,NA
4.716,90,NA
1.833,54,NA
4.833,80,NA
1.733,54,NA
4.883,83,NA
3.717,71,NA
1.667,64,NA
4.567,77,NA
4.317,81,NA
2.233,59,NA
4.5,84,NA
1.75,48,NA
4.8,82,NA
1.817,60,NA
4.4,92,NA
4.167,78,NA
4.7,78,NA
2.067,65,NA
4.7,73,NA
4.033,82,NA
1.967,56,NA
4.5,79,NA
4,71,NA
1.983,62,NA
5.067,76,NA
2.017,60,NA
4.567,78,NA
3.883,76,NA
3.6,83,NA
4.133,75,NA
4.333,82,NA
4.1,70,NA
2.633,65,NA
4.067,73,NA
4.933,88,NA
3.95,76,NA
4.517,80,NA
2.167,48,NA
4,86,NA
2.2,60,NA
4.333,90,NA
1.867,50,NA
4.817,78,NA
1.833,63,NA
4.3,72,NA
4.667,84,NA
3.75,75,NA
1.867,51,NA
4.9,82,NA
2.483,62,NA
4.367,88,NA
2.1,49,NA
4.5,83,NA
4.05,81,NA
1.867,47,NA
4.7,84,NA
1.783,52,NA
4.85,86,NA
3.683,81,NA
4.733,75,NA
2.3,59,NA
4.9,89,NA
4.417,79,NA
1.7,59,NA
4.633,81,NA
2.317,50,NA
4.6,85,NA
1.817,59,NA
4.417,87,NA
2.617,53,NA
4.067,69,NA
4.25,77,NA
1.967,56,NA
4.6,88,NA
3.767,81,NA
1.917,45,NA
4.5,82,NA
2.267,55,NA
4.65,90,NA
1.867,45,NA
4.167,83,NA
2.8,56,NA
4.333,89,NA
1.833,46,NA
4.383,82,NA
1.883,51,NA
4.933,86,NA
2.033,53,NA
3.733,79,NA
4.233,81,NA
2.233,60,NA
4.533,82,NA
4.817,77,NA
4.333,76,NA
1.983,59,NA
4.633,80,NA
2.017,49,NA
5.1,96,NA
1.8,53,NA
5.033,77,NA
4,77,NA
2.4,65,NA
4.6,81,NA
3.567,71,NA
4,70,NA
4.5,81,NA
4.083,93,NA
1.8,53,NA
3.967,89,NA
2.2,45,NA
4.15,86,NA
2,58,NA
3.833,78,NA
3.5,66,NA
4.583,76,NA
2.367,63,NA
5,88,NA
1.933,52,NA
4.617,93,NA
1.917,49,NA
2.083,57,NA
4.583,77,NA
3.333,68,NA
4.167,81,NA
4.333,81,NA
4.5,73,NA
2.417,50,NA
4,85,NA
4.167,74,NA
1.883,55,NA
4.583,77,NA
4.25,83,NA
3.767,83,NA
2.033,51,NA
4.433,78,NA
4.083,84,NA
1.833,46,NA
4.417,83,NA
2.183,55,NA
4.8,81,NA
1.833,57,NA
4.8,76,NA
4.1,84,NA
3.966,77,NA
4.233,81,NA
3.5,87,NA
4.366,77,NA
2.25,51,NA
4.667,78,NA
2.1,60,NA
4.35,82,NA
4.133,91,NA
1.867,53,NA
4.6,78,NA
1.783,46,NA
4.367,77,NA
3.85,84,NA
1.933,49,NA
4.5,83,NA
2.383,71,NA
4.7,80,NA
1.867,49,NA
3.833,75,NA
3.417,64,NA
4.233,76,NA
2.4,53,NA
4.8,94,NA
2,55,NA
4.15,76,NA
1.867,50,NA
4.267,82,NA
1.75,54,NA
4.483,75,NA
4,78,NA
4.117,79,NA
4.083,78,NA
4.267,78,NA
3.917,70,NA
4.55,79,NA
4.083,70,NA
2.417,54,NA
4.183,86,NA
2.217,50,NA
4.45,90,NA
1.883,54,NA
1.85,54,NA
4.283,77,NA
3.95,79,NA
2.333,64,NA
4.15,75,NA
2.35,47,NA
4.933,86,NA
2.9,63,NA
4.583,85,NA
3.833,82,NA
2.083,57,NA
4.367,82,NA
2.133,67,NA
4.35,74,NA
2.2,54,NA
4.45,83,NA
3.567,73,NA
4.5,73,NA
4.15,88,NA
3.817,80,NA
3.917,71,NA
4.45,83,NA
2,56,NA
4.283,79,NA
4.767,78,NA
4.533,84,NA
1.85,58,NA
4.25,83,NA
1.983,43,NA
2.25,60,NA
4.75,75,NA
4.117,81,NA
2.15,46,NA
4.417,90,NA
1.817,46,NA
4.467,74,NA
